HDI Rank (2015),Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
160,Comoros,,,,,,,,,,,,,,,0.434,0.451,0.45899999999999996,0.461,0.465,0.47600000000000003,0.479,0.484,0.49,0.49700000000000005,0.498,0.498
160,Lesotho,0.493,0.493,0.493,0.48700000000000004,0.489,0.483,0.47700000000000004,0.46799999999999997,0.45399999999999996,0.445,0.44299999999999995,0.446,0.44,0.439,0.43700000000000006,0.43700000000000006,0.44,0.447,0.45299999999999996,0.46399999999999997,0.469,0.479,0.484,0.491,0.495,0.49700000000000005
162,Senegal,0.36700000000000005,0.366,0.36700000000000005,0.365,0.365,0.371,0.373,0.37200000000000005,0.376,0.37799999999999995,0.381,0.397,0.401,0.408,0.415,0.42200000000000004,0.425,0.435,0.444,0.449,0.455,0.46299999999999997,0.474,0.483,0.491,0.494
163,Uganda,0.309,0.31,0.303,0.311,0.314,0.32,0.336,0.35100000000000003,0.366,0.382,0.396,0.40399999999999997,0.418,0.42700000000000005,0.429,0.434,0.442,0.45299999999999996,0.46399999999999997,0.473,0.47700000000000004,0.47700000000000004,0.478,0.483,0.488,0.493
165,Sudan,0.331,0.337,0.345,0.35200000000000004,0.358,0.365,0.373,0.382,0.38799999999999996,0.39399999999999996,0.39899999999999997,0.40299999999999997,0.409,0.415,0.423,0.43,0.44,0.444,0.456,0.461,0.46299999999999997,0.46799999999999997,0.478,0.485,0.488,0.49
166,Togo,0.40399999999999997,0.40700000000000003,0.39899999999999997,0.389,0.395,0.408,0.41700000000000004,0.424,0.424,0.425,0.426,0.428,0.428,0.43200000000000005,0.435,0.436,0.44299999999999995,0.441,0.442,0.449,0.457,0.46399999999999997,0.47,0.475,0.484,0.48700000000000004
167,Benin,0.345,0.35100000000000003,0.355,0.361,0.365,0.371,0.375,0.38,0.384,0.389,0.395,0.40700000000000003,0.41600000000000004,0.423,0.43,0.434,0.43799999999999994,0.444,0.44799999999999995,0.451,0.45399999999999996,0.45799999999999996,0.466,0.475,0.48100000000000004,0.485
170,Malawi,0.325,0.331,0.33799999999999997,0.34600000000000003,0.34700000000000003,0.38,0.368,0.38799999999999996,0.389,0.391,0.387,0.38799999999999996,0.36200000000000004,0.366,0.371,0.377,0.387,0.4,0.415,0.43,0.444,0.45399999999999996,0.45899999999999996,0.466,0.473,0.47600000000000003
172,Djibouti,,,,,,0.353,0.35100000000000003,0.35600000000000004,0.358,0.361,0.363,0.37200000000000005,0.37799999999999995,0.38799999999999996,0.396,0.405,0.41600000000000004,0.42700000000000005,0.436,0.441,0.451,0.46,0.46399999999999997,0.467,0.47,0.473
173,Gambia,0.33,0.336,0.34,0.345,0.348,0.35100000000000003,0.35700000000000004,0.363,0.369,0.377,0.384,0.392,0.395,0.40399999999999997,0.41200000000000003,0.415,0.42,0.426,0.434,0.439,0.441,0.44,0.445,0.449,0.45,0.452
174,Ethiopia,,,,,,,,,,,0.28300000000000003,0.298,0.306,0.31,0.325,0.34600000000000003,0.36200000000000004,0.37799999999999995,0.39299999999999996,0.401,0.41100000000000003,0.42200000000000004,0.42700000000000005,0.435,0.441,0.44799999999999995
175,Mali,0.222,0.22899999999999998,0.233,0.24,0.247,0.252,0.261,0.271,0.281,0.29100000000000004,0.297,0.308,0.318,0.33299999999999996,0.33799999999999997,0.35,0.363,0.36,0.385,0.396,0.40399999999999997,0.41100000000000003,0.42100000000000004,0.43,0.43799999999999994,0.442
176,Congo (Democratic Republic of the),0.35600000000000004,0.35200000000000004,0.34600000000000003,0.33899999999999997,0.33299999999999996,0.331,0.33,0.33299999999999996,0.33399999999999996,0.332,0.331,0.332,0.33899999999999997,0.34700000000000003,0.355,0.364,0.37,0.377,0.389,0.395,0.39799999999999996,0.40700000000000003,0.41200000000000003,0.419,0.425,0.435
177,Liberia,,,,,,,,,,0.33799999999999997,0.386,0.376,0.373,0.335,0.37200000000000005,0.377,0.38299999999999995,0.39399999999999996,0.4,0.40299999999999997,0.406,0.41600000000000004,0.419,0.426,0.42700000000000005,0.42700000000000005
178,Guinea-Bissau,,,,,,,,,,,,,,,,0.38799999999999996,0.39399999999999996,0.39799999999999996,0.401,0.405,0.41,0.41600000000000004,0.415,0.419,0.42100000000000004,0.424
179,Eritrea,,,,,,,,,,,,,,,,0.405,0.405,0.406,0.402,0.40399999999999997,0.405,0.41,0.414,0.41600000000000004,0.418,0.42
179,Sierra Leone,0.272,0.267,0.262,0.265,0.268,0.26899999999999996,0.275,0.27899999999999997,0.28600000000000003,0.292,0.302,0.306,0.322,0.332,0.341,0.348,0.35700000000000004,0.36700000000000005,0.375,0.384,0.392,0.401,0.413,0.426,0.431,0.42
181,Mozambique,0.209,0.212,0.20800000000000002,0.215,0.222,0.23,0.254,0.267,0.28,0.29100000000000004,0.298,0.311,0.318,0.332,0.341,0.353,0.36,0.37200000000000005,0.382,0.39,0.397,0.4,0.405,0.409,0.414,0.418
181,South Sudan,,,,,,,,,,,,,,,,,,,,,0.429,0.419,0.41700000000000004,0.42100000000000004,0.42100000000000004,0.418
183,Guinea,0.271,0.275,0.278,0.282,0.28600000000000003,0.29,0.294,0.302,0.309,0.316,0.322,0.32899999999999996,0.33799999999999997,0.325,0.34600000000000003,0.35600000000000004,0.364,0.371,0.376,0.38,0.385,0.396,0.406,0.41200000000000003,0.414,0.414
184,Burundi,0.27,0.273,0.271,0.271,0.27,0.266,0.262,0.264,0.268,0.268,0.268,0.268,0.276,0.27899999999999997,0.28600000000000003,0.29,0.309,0.319,0.336,0.361,0.385,0.39299999999999996,0.39799999999999996,0.40399999999999997,0.406,0.40399999999999997
185,Burkina Faso,,,,,,,,,,,,,,,,0.325,0.33399999999999996,0.345,0.35600000000000004,0.365,0.377,0.384,0.392,0.39799999999999996,0.39899999999999997,0.402
186,Chad,,,,,,,,,,,0.3,0.303,0.284,0.301,0.306,0.303,0.306,0.33799999999999997,0.34299999999999997,0.36,0.37,0.381,0.387,0.39,0.39399999999999996,0.396
187,Niger,0.212,0.215,0.218,0.222,0.226,0.231,0.237,0.24,0.249,0.253,0.255,0.261,0.266,0.27,0.278,0.28600000000000003,0.293,0.298,0.307,0.312,0.32299999999999995,0.331,0.341,0.345,0.35100000000000003,0.353
188,Central African Republic,0.32,0.314,0.302,0.302,0.304,0.307,0.304,0.307,0.309,0.312,0.314,0.315,0.316,0.315,0.319,0.32299999999999995,0.33,0.33799999999999997,0.345,0.35200000000000004,0.361,0.366,0.37,0.345,0.34700000000000003,0.35200000000000004
